Date,Close,High,Low,Open,Volume
4/2/2018 19:43,4.53,4.53,4.53,4.53,100
4/2/2018 19:44,4.48,4.53,4.48,4.5225,6400
4/2/2018 19:46,4.5,4.5,4.5,4.5,100
4/2/2018 19:47,4.5,4.51,4.49,4.5,400
4/2/2018 19:48,4.54,4.54,4.51,4.51,3710
4/2/2018 19:49,4.5442,4.55,4.53,4.53,435
4/2/2018 19:50,4.54,4.55,4.54,4.55,800
4/2/2018 19:51,4.51,4.545,4.51,4.545,5102
4/2/2018 19:52,4.5,4.51,4.5,4.51,2100
4/2/2018 19:53,4.51,4.51,4.5,4.5,1225
4/2/2018 19:54,4.5201,4.5201,4.5201,4.5201,350
4/2/2018 19:55,4.5369,4.54,4.52,4.52,2352
4/2/2018 19:56,4.51,4.535,4.51,4.53,3285
4/2/2018 19:57,4.5,4.51,4.49,4.51,600
4/2/2018 19:58,4.47,4.5,4.47,4.49,16768
4/2/2018 19:59,4.49,4.49,4.475,4.48,2850
4/2/2018 20:00,4.4762,4.5,4.4762,4.49,3000
4/2/2018 20:02,4.47,4.48,4.47,4.48,200
4/2/2018 20:03,4.45,4.48,4.45,4.4726,11880
4/2/2018 20:04,4.415,4.45,4.39,4.45,13476
4/2/2018 20:05,4.43,4.43,4.4,4.4,26400
4/2/2018 20:06,4.49,4.49,4.43,4.43,22945
4/2/2018 20:07,4.49,4.49,4.49,4.49,700
4/2/2018 20:08,4.5,4.5,4.5,4.5,100
4/2/2018 20:09,4.5,4.5,4.5,4.5,200
4/2/2018 20:10,4.51,4.51,4.495,4.5,4800
4/2/2018 20:11,4.51,4.52,4.501,4.51,1400
4/2/2018 20:12,4.51,4.52,4.5,4.51,4100
4/2/2018 20:13,4.5,4.51,4.49,4.51,15654
4/2/2018 20:14,4.5049,4.5049,4.5049,4.5049,100
4/2/2018 20:15,4.505,4.505,4.505,4.505,400
4/2/2018 20:16,4.5,4.5,4.5,4.5,100
4/2/2018 20:17,4.5052,4.5052,4.5052,4.5052,400
4/2/2018 20:18,4.49,4.5098,4.49,4.5098,3500
4/2/2018 20:19,4.49,4.495,4.49,4.495,1200
4/2/2018 20:21,4.485,4.49,4.48,4.49,2100
4/2/2018 20:22,4.475,4.48,4.475,4.48,200
4/2/2018 20:23,4.48,4.49,4.48,4.49,200
4/2/2018 20:26,4.4832,4.4832,4.48,4.48,900
4/2/2018 20:27,4.485,4.485,4.485,4.485,100
4/2/2018 20:29,4.49,4.49,4.48,4.48,700
4/2/2018 20:30,4.49,4.49,4.49,4.49,700
4/2/2018 20:31,4.4731,4.495,4.4731,4.495,5600
4/2/2018 20:32,4.4831,4.4831,4.4731,4.4731,5467
4/2/2018 20:33,4.43,4.49,4.43,4.485,24915
4/2/2018 20:34,4.44,4.44,4.425,4.425,200
4/2/2018 20:35,4.4301,4.45,4.41,4.4202,5150
4/2/2018 20:36,4.45,4.45,4.45,4.45,200
4/2/2018 20:37,4.47,4.47,4.45,4.45,700
4/2/2018 20:38,4.458,4.47,4.4418,4.47,7300
4/2/2018 20:39,4.4485,4.4489,4.442,4.442,6500
4/2/2018 20:41,4.44,4.4411,4.44,4.44,4100
4/2/2018 20:42,4.43,4.435,4.4101,4.43,11913
4/2/2018 20:45,4.4531,4.4531,4.4414,4.4414,2100
4/2/2018 20:46,4.48,4.48,4.46,4.46,3810
4/2/2018 20:47,4.4665,4.49,4.46,4.475,5045
4/2/2018 20:48,4.48,4.48,4.4724,4.477,1800
4/2/2018 20:49,4.48,4.48,4.4765,4.48,1200
4/2/2018 20:50,4.48,4.48,4.48,4.48,1600
4/2/2018 20:51,4.4803,4.49,4.4803,4.49,1400
4/2/2018 20:52,4.46,4.49,4.46,4.49,7772
4/2/2018 20:53,4.46,4.47,4.45,4.45,1100
4/2/2018 20:54,4.47,4.47,4.47,4.47,200
4/2/2018 20:57,4.46,4.48,4.46,4.4701,7856
4/2/2018 20:58,4.46,4.46,4.45,4.46,300
4/2/2018 21:00,4.47,4.47,4.47,4.47,400
4/2/2018 21:01,4.48,4.48,4.47,4.47,3200
4/2/2018 21:02,4.49,4.5,4.48,4.48,6320
4/2/2018 21:03,4.46,4.49,4.46,4.49,8134
4/2/2018 21:04,4.47,4.47,4.45,4.45,9000
4/2/2018 21:06,4.49,4.49,4.4704,4.4704,1304
4/2/2018 21:07,4.49,4.49,4.4851,4.4851,950
4/2/2018 21:08,4.48,4.48,4.48,4.48,300
4/2/2018 21:09,4.49,4.49,4.4801,4.49,2352
4/2/2018 21:10,4.4384,4.48,4.41,4.48,24420
4/2/2018 21:11,4.4406,4.4406,4.44,4.44,1468
4/2/2018 21:12,4.45,4.45,4.45,4.45,174
4/2/2018 21:13,4.45,4.47,4.44,4.45,4000
4/2/2018 21:15,4.44,4.44,4.44,4.44,1300
4/2/2018 21:16,4.42,4.44,4.4,4.44,12863
4/2/2018 21:17,4.44,4.4496,4.43,4.43,2600
4/2/2018 21:18,4.43,4.45,4.42,4.436,7442
4/2/2018 21:19,4.42,4.42,4.42,4.42,100
4/2/2018 21:20,4.41,4.425,4.41,4.42,3471
4/2/2018 21:21,4.44,4.44,4.415,4.42,7078
4/2/2018 21:23,4.45,4.45,4.44,4.44,8100
4/2/2018 21:24,4.47,4.47,4.46,4.46,500
4/2/2018 21:25,4.43,4.475,4.43,4.47,6600
4/2/2018 21:26,4.4376,4.4376,4.4376,4.4376,600
4/2/2018 21:27,4.443,4.443,4.443,4.443,120
4/2/2018 21:28,4.44,4.445,4.44,4.44,1600
4/2/2018 21:29,4.44,4.44,4.44,4.44,800
4/2/2018 21:30,4.445,4.445,4.445,4.445,100
4/2/2018 21:31,4.44,4.45,4.44,4.4424,5300
4/2/2018 21:32,4.4401,4.4401,4.4401,4.4401,500
4/2/2018 21:33,4.4,4.445,4.4,4.445,10276
4/2/2018 21:34,4.41,4.42,4.4,4.42,5100
4/2/2018 21:35,4.395,4.41,4.39,4.4004,8690
4/2/2018 21:36,4.4,4.4,4.395,4.395,3700
4/2/2018 21:37,4.39,4.42,4.39,4.42,4374
4/2/2018 21:38,4.3804,4.3804,4.3804,4.3804,1500
4/2/2018 21:39,4.39,4.39,4.39,4.39,500
4/2/2018 21:41,4.341,4.39,4.33,4.39,24786
4/2/2018 21:42,4.3264,4.37,4.32,4.3468,21985
4/2/2018 21:43,4.38,4.38,4.33,4.33,1570
4/2/2018 21:44,4.3662,4.368,4.3662,4.368,2550
4/2/2018 21:45,4.3705,4.3705,4.37,4.37,1270
4/2/2018 21:46,4.375,4.38,4.37,4.37,5595
4/2/2018 21:47,4.38,4.38,4.37,4.3701,3300
4/2/2018 21:48,4.39,4.4,4.3864,4.39,3400
4/2/2018 21:49,4.43,4.43,4.4,4.4,3057
4/2/2018 21:50,4.43,4.43,4.43,4.43,300
4/2/2018 21:51,4.43,4.43,4.4202,4.4202,495
4/2/2018 21:52,4.4096,4.45,4.4096,4.44,15929
4/2/2018 21:53,4.4,4.4066,4.4,4.4,10400
4/2/2018 21:54,4.4239,4.4239,4.4,4.4,5885
4/2/2018 21:55,4.4289,4.43,4.4289,4.43,200
4/2/2018 21:56,4.42,4.42,4.42,4.42,2600
4/2/2018 21:58,4.43,4.44,4.42,4.44,300
4/2/2018 21:59,4.48,4.48,4.44,4.44,16021
4/2/2018 22:00,4.46,4.48,4.46,4.47,6450
4/2/2018 22:01,4.47,4.47,4.47,4.47,300
4/2/2018 22:02,4.46,4.475,4.46,4.47,3989
4/2/2018 22:03,4.47,4.47,4.47,4.47,500
4/2/2018 22:04,4.47,4.4701,4.47,4.47,6254
4/2/2018 22:05,4.48,4.48,4.48,4.48,100
4/2/2018 22:06,4.51,4.52,4.48,4.48,14809
4/2/2018 22:07,4.515,4.52,4.51,4.5194,2600
4/2/2018 22:08,4.51,4.51,4.51,4.51,2400
4/2/2018 22:09,4.5,4.51,4.5,4.51,300
4/2/2018 22:10,4.5,4.5,4.5,4.5,300
4/2/2018 22:11,4.505,4.505,4.5,4.5,200
4/2/2018 22:12,4.48,4.505,4.48,4.5,9500
4/2/2018 22:13,4.47,4.48,4.47,4.48,500
4/2/2018 22:14,4.48,4.48,4.46,4.46,1400
4/2/2018 22:15,4.4862,4.4862,4.48,4.48,900
4/2/2018 22:16,4.51,4.51,4.49,4.5,2700
4/2/2018 22:17,4.5,4.5,4.5,4.5,100
4/2/2018 22:19,4.5,4.5,4.49,4.5,7410
4/2/2018 22:20,4.48,4.4972,4.48,4.49,2268
4/2/2018 22:22,4.5,4.51,4.49,4.5,10300
4/2/2018 22:23,4.5,4.5,4.5,4.5,2425
4/2/2018 22:24,4.5,4.5,4.49,4.5,400
4/2/2018 22:25,4.5,4.5,4.4938,4.4938,300
4/2/2018 22:26,4.51,4.51,4.5,4.5,2000
4/2/2018 22:27,4.505,4.505,4.5,4.5,3490
4/2/2018 22:28,4.52,4.53,4.505,4.505,3700
4/2/2018 22:29,4.509,4.52,4.5,4.51,1850
4/2/2018 22:30,4.5,4.5,4.5,4.5,100
4/2/2018 22:31,4.525,4.525,4.51,4.51,3300
4/2/2018 22:32,4.525,4.525,4.52,4.52,200
4/2/2018 22:33,4.525,4.53,4.52,4.53,400
4/2/2018 22:34,4.525,4.53,4.525,4.53,300
4/2/2018 22:35,4.52,4.53,4.52,4.525,9242
4/2/2018 22:36,4.52,4.5298,4.52,4.5298,2023
4/2/2018 22:37,4.53,4.53,4.52,4.52,500
4/2/2018 22:38,4.48,4.52,4.48,4.52,5120
4/2/2018 22:39,4.47,4.4853,4.47,4.475,5785
4/2/2018 22:42,4.47,4.47,4.47,4.47,100
4/2/2018 22:43,4.5,4.51,4.49,4.49,2645
4/2/2018 22:44,4.4962,4.5,4.4962,4.5,2050
4/2/2018 22:45,4.48,4.5,4.48,4.49,5700
4/2/2018 22:46,4.455,4.49,4.45,4.48,14130
4/2/2018 22:47,4.45,4.45,4.45,4.45,200
4/2/2018 22:48,4.47,4.47,4.47,4.47,100
4/2/2018 22:51,4.455,4.47,4.45,4.47,5500
4/2/2018 22:52,4.45,4.45,4.45,4.45,200
4/2/2018 22:54,4.47,4.47,4.46,4.46,2400
4/2/2018 22:55,4.47,4.47,4.47,4.47,350
