Date,Open,High,Low,Close,Adj Close,Volume
21-11-2008,276.237,299.937988,276.237,296.187988,185.638474,1395860
24-11-2008,294,304.5,285.25,299.049988,187.432205,1271268
25-11-2008,307.5,307.5,293.787994,295.212006,185.026718,821044
26-11-2008,299,299,286,296.812012,186.029526,795928
28-11-2008,296.25,312.237,290,310.149994,194.389267,1261292
1/12/2008,325,325,305.475006,308.325012,193.245453,1245632
2/12/2008,306.25,306.25,293.899994,302.437988,189.55571,916684
3/12/2008,301.75,305.087006,285.049988,289.462006,181.422897,1791456
4/12/2008,291.274994,299.975006,287.5,298.687988,187.205353,1169112
5/12/2008,294.75,294.75,280.263,283.924988,177.952499,1185352
8/12/2008,292.5,299.25,284.787994,289.312012,181.328873,1840476
10/12/2008,289.312012,301,289.312012,293.487,183.945602,1759468
11/12/2008,295,295,280.549988,284,177.999512,1432032
12/12/2008,275,280,269.649994,276.850006,173.518204,1407312
15-12-2008,279.924988,284.537994,272.75,275.274994,172.531021,1480964
16-12-2008,275,283.475006,272.5,280.725006,175.946884,970992
17-12-2008,280.725006,293.725006,280,284.950012,178.59494,1697124
18-12-2008,287.25,296.25,286.25,294.388,184.510284,853928
19-12-2008,294.388,298.75,286.75,296.575012,185.881042,885536
22-12-2008,297.5,300.674988,291.350006,295.399994,185.144577,612228
23-12-2008,292.524994,297.125,290.524994,294.187988,184.384933,456612
24-12-2008,292.862,301,291.25,293,183.640335,462572
26-12-2008,293,295,276.25,277.388,173.855362,1151384
29-12-2008,277.388,279.25,266.25,277.587006,173.980103,1110888
30-12-2008,279.5,282.75,273,281.263,176.284073,950288
31-12-2008,283,284.700012,275.549988,279.462006,175.155319,749460
2/1/2009,281.25,291.25,277.763,282.737,177.207901,1891924
5/1/2009,286.25,296.25,285.487,293.612,184.023926,1054672
6/1/2009,295.25,296.25,286.587006,291.912994,182.959091,898672
7/1/2009,295.375,299.75,286.75,296.774994,186.006363,4513520
9/1/2009,296.774994,316.25,287.25,298.774994,187.259888,2113588
12/1/2009,300,300,284.25,289.149994,181.227341,1741132
13-01-2009,286.125,310,275.25,307.549988,192.759689,4831848
14-01-2009,310,328.424988,307.524994,326.212006,204.456253,3319924
15-01-2009,319.75,319.75,303.774994,313.013,196.183655,2666528
16-01-2009,315,318.399994,309.649994,317.062012,198.721405,1065456
19-01-2009,320,320,309.5,314.888,197.358887,633604
20-01-2009,307.5,314,307.5,312.350006,195.768112,546584
21-01-2009,306.100006,313.174988,304,305.799988,191.662842,601232
22-01-2009,305.799988,309.725006,300.812012,307.388,192.658203,843404
23-01-2009,307.388,308.763,297.812012,300.987,188.646271,2111160
27-01-2009,300.987,315,300.987,312.950012,196.144196,1135332
28-01-2009,313,324.024994,313,321.299988,201.37764,640088
29-01-2009,325,329.674988,322.125,327.412994,205.209015,1759600
30-01-2009,325,328,321.25,326.375,204.558365,1013984
2/2/2009,323.25,324.5,316.763,319.700012,200.374847,1658392
3/2/2009,321,325,315.5,320.600006,200.938873,479180
4/2/2009,320.600006,326.812012,319.75,320.737,201.024796,472816
5/2/2009,320.5,322.75,309.524994,315,197.429062,1030384
6/2/2009,315,323.5,311.75,321.799988,201.690994,794088
9/2/2009,323.75,328.75,322.25,327.462006,205.239746,1119200
10/2/2009,328.75,331.237,323.174988,326.837006,204.847977,1108936
11/2/2009,325,326.25,319.162994,325.638,204.096527,724076
12/2/2009,317.75,324.975006,313,314.587006,197.170212,874900
13-02-2009,315.25,318.75,311.549988,313.674988,196.598587,581000
16-02-2009,313.75,315.149994,303.763,305.388,191.404633,1029436
17-02-2009,300.25,304.462006,292.200012,294.412994,184.525925,983248
18-02-2009,292.5,297.375,290.25,294.687988,184.698364,1676076
19-02-2009,296.25,303.25,293,302.049988,189.312531,880312
20-02-2009,300,301,290.850006,294.612,184.650665,707856
24-02-2009,294.612,297.763,286.600006,296.024994,185.536285,491504
25-02-2009,297.549988,306,297.549988,304.062012,190.573563,917648
26-02-2009,304,310,300.138,309.087006,193.723022,774212
27-02-2009,309,309.924988,300.587006,307.825012,192.932068,474668
2/3/2009,302.825012,307.25,297.5,304.687988,190.965897,719296
3/3/2009,303.725006,303.725006,297.587006,299.399994,187.651581,608480
4/3/2009,300.375,303.875,295.274994,299.475006,187.698608,1004668
5/3/2009,303.375,303.375,294.037994,295.700012,185.332626,387288
6/3/2009,292.5,309.5,292,304.799988,191.036102,1104668
9/3/2009,304,304.862,297.75,299.187988,187.518768,770528
12/3/2009,299.187988,313.424988,299.187988,306.787994,192.282089,1007472
13-03-2009,310.5,325,310.5,324.087006,203.124405,1258400
16-03-2009,326.274994,326.274994,317.25,322.062012,201.855209,716052
17-03-2009,320,322.25,314.375,316.388,198.298996,624412
18-03-2009,319.5,325.424988,316.75,319.362,200.162994,812464
19-03-2009,321,327.75,320.587006,323.962006,203.046066,1021932
20-03-2009,324.75,325,320.25,324.337006,203.281082,601524
23-03-2009,325,335.013,325,332.674988,208.507019,608412
24-03-2009,336.25,339.825012,327.549988,330.737,207.292374,741968
25-03-2009,330,337.350006,327.5,334.899994,209.901581,936656
26-03-2009,335.25,348.674988,335.25,345.162994,216.333939,1680656
27-03-2009,349.5,349.5,332.5,336.687988,211.022217,1118056
30-03-2009,333.75,333.75,322,324.462006,203.359451,554340
31-03-2009,326.5,335,325.013,331.024994,207.472855,514964
1/4/2009,331.5,346,325.75,343.875,215.526733,512700
2/4/2009,344.75,358.424988,342.5,355.100006,222.562088,1020616
